Nom_master,Catégorie,Site,Chronologie,Divinités,Épithètes,Roi,Dynastie,"Lexique ""Désert""",Titres de particuliers,Iconographie,Type de sacralisation,Type d'écriture,Répertoire textuel ,Bibliographie ,Détails Techniques,Commentaire,Nom_branch,Conservation,"Dimensions (H, l, ép.)",Matière,Technique,Type de cintrage
Stèle SA 546,Stèle,"Gebel Zeit (site 1, sanctuaire)","DPi, Incertaine, Moyen Empire",,,,fin XIIe - XVIe dynastie ?,  ,,,,,,Gebel Zeit II - Le matériel inscrit,SA 546 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20546%203c388bebf83a47909018e3411531229c.md),,SA 546,fragment du cintre.,"h. 4,7cm ; l. 4,7cm ; 1,5cm",Faience bleue,Figure en relief dans le creux et peintes en noire. Verso non décoré,
Stèle SA 552,Stèle,"Gebel Zeit (site 1, dépôt du sanctuaire)","DPi, Incertaine, Nouvel Empire",Hathor,"Hathor, maîtresse des contrées désertiques",,XIIIe - XVIIIe dynastie ?,ḫȝs.[wt] (contrées désertiques),,,,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 552 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20552%206d0f234f1a2d4af3a30fa8a0a7272fdd.md),,SA 552,Presque complète (deux fragments). Mauvaise conservation générale. Très friable. L’inscription de la partie supérieure est en partie masquée par un dépôt granuleux sur la surface du fragment correspondant à la partie supérieure de la stèle. La forme grossière et le matériau de la stèle indiquent qu’elle a été réalisée directement sur le site.,h. 34cm ; l. 20cm ; 8cm,Calcite,"Stèle cintrée, gravée de manière fruste. Traces de peinture rouge pour les hiéroglyphes du fragment de la partie supérieure.",
Stèle SA 549,Stèle,"Gebel Zeit (site 1, dépôt du sanctuaire)",DPi,"Hathor, Min",,Nb-ḫpr-Rʿ Jntf (Nebkhéperrê Antef),XVIIe dynastie,,,,,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 549 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20549%209824ece22c584b8292278943dec10d17.md),,SA 549,Moitié inférieure.,"h. 29cm ; l. 26,5cm ; 4,5cm",Calcaire,Stèle gravée.,
Socle SA 779,Socle,"Gebel Zeit (site 1, soubassement du sanctuaire)",DPi,Maât,"Maât, fille de Rê",,XVIIe - XVIIIe dynastie,,,,,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 779 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20779%20efbc275a6d134085a9a6ab4667a6432e.md),"L’objet appartenait à une femme, Henoutsen, mère royale. Dans le socle il y avait probablement une statue de Maât ou la mère royale.",,,,,,
Stèle SA 553,Stèle,"Gebel Zeit (site 1, dépôt du sanctuaire)",DPi,"Hathor, Horus",,,XVIIe - XVIIIe dynastie,,,,,,,Gebel Zeit II - Le matériel inscrit,SA 553 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20553%205beab9d6d0ee48a69ce48c8119a8f1c2.md),,SA 553,Fragment de la partie centrale.,"h. 17cm ; l. 15cm ; ép. 3,8cm",Calcaire,Stèle gravée. Traces de peinture noire au niveau du bandeau d’Hathor et du sceptre ouas.,
Stèle SA 794,Stèle,"Gebel Zeit (site 1, soubassement du sanctuaire)",DPi,"Hathor, Min",,,XVIIe - XVIIIe dynastie,,,,,,,Gebel Zeit II - Le matériel inscrit,SA 794 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20794%20cb9b1799478a4e619937849c239ed6b0.md),,SA 794,Fragment correspondant à la base.,"h. 7,7cm ; l. 14cm ; ép. 3cm",Calcite,Stèle gravée.,
Stèle SA 551,Stèle,"Gebel Zeit (site 1, dépôt du sanctuaire)","Incertaine, Nouvel Empire",,,,XVIIIe dynastie,,,,,,,Gebel Zeit II - Le matériel inscrit,SA 551 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20551%20451b10f1438e4ba89a0bae8b04abe5b8.md),,SA 551,Fragment correspondant à la moitié inférieure de la stèle.,"h. 11,5cm ; l. 14cm ; ép. 2,4cm",Calcaire,figures et signes en relief dans le creux. Traces de peinture rouge (jambes) et noire (signes).,
SEH 2,Inscription rupestre,Séhel (Bibi togog ouest),Ancien Empire,,,,IVe - Ve dynastie,,Le directeur de (la forteresse) d’Éléphantine,,,Hiéroglyphes,"Auto-présentation (avec/sans filiation), Signature",Les inscriptions de Séhel,SEH 2 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SEH%202%20d7f9dc4702804b11905354aca1babba3.md),,SEH 2,In situ.,h. 33 cm ; l. 71 cm,,Piquetage,
SEH 3,Inscription rupestre,Séhel (Bibi togog ouest),Ancien Empire,,,,VIe dynastie,,,,,Hiéroglyphes,"Auto-présentation (avec/sans filiation), Signature",Les inscriptions de Séhel,SEH 3 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SEH%203%2035c6247cbc9349e58ef998f38dbd6081.md),,SEH 3,In situ.,h. 30 cm ; l. 150 cm,,Piquetage,
SEH 4,Inscription rupestre,Séhel (Bibi togog ouest),Ancien Empire,,,,VIe dynastie,,,,,Hiéroglyphes,"Auto-présentation (avec/sans filiation), Signature",Les inscriptions de Séhel,SEH 4 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SEH%204%20811e7811d1b24d04a76910b89b545ef2.md),,SEH 4,In situ.,h. 36 cm ; l. 107 cm,,Piquetage,
SEH 5,Inscription rupestre,Séhel (Bibi togog ouest),Ancien Empire,,,Pépy II,VIe dynastie,,,,,Hiéroglyphes,,Les inscriptions de Séhel,SEH 5 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SEH%205%2021b7bc6d74e14792b2f7678cab4254cb.md),,SEH 5,In situ.,h. 123 cm ; l. 103 cm,,Piquetage,
SEH 6,Inscription rupestre,Séhel (Bibi togog ouest),Ancien Empire,,,Pépy II,VIe dynastie,,,,,Hiéroglyphes,"Auto-présentation (avec/sans filiation), Signature",Les inscriptions de Séhel,SEH 6 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SEH%206%2062683a591bff48668b83fcd9a9de3fdf.md),,SEH 6,In situ.,h. 85 cm ; l. 65 cm,,Piquetage,
